,algorithm,number of errors,extended num of error,maximum score error,average score error,number of IDs sent,extended bytes,number of scores sent,broadcast size,maximum local bandwidth,number of rounds,max local compute time,center compute time,runtime
0,TPUT 10,0,0,0,0,44434704,0,44434704,554,6004848,3,0.356286764,6.803117275,2.496955401
1,TPUT 20,0,0,0,0,58083061,0,58083061,1026,6671120,3,0.357112408,8.843969107,2.878530355
2,TPUT 30,0,0,0,0,63674352,0,63674352,1226,7225392,3,0.369457483,9.554109335,3.08374424
3,TPUT 40,0,0,0,0,70962275,0,70962275,1298,8124336,3,0.804733992,10.33079076,3.78525174
4,TPUT 50,0,0,0,0,75389818,0,75389818,1482,8630976,3,0.451681137,10.51381779,3.550369162
5,TPUT 60,0,0,0,0,79035632,0,79035632,1658,9017616,3,0.356002092,10.95942426,3.583138143
6,TPUT 70,0,0,0,0,82643286,0,82643286,2114,9358240,3,0.571880341,11.309129,3.906897878
7,TPUT 80,0,0,0,0,84797919,0,84797919,2202,9542752,3,0.337260485,11.57542539,3.739259331
8,TPUT 90,0,0,0,0,87408065,0,87408065,2490,9745632,3,0.34050107,11.76955152,3.805068204
9,TPUT 100,0,0,0,0,90431966,0,90431966,2626,9958160,3,0.374290228,12.01791286,3.910116726
10,ITT 10,0,0,0,0,22619146,0,22619146,2778,4336000,6,0.335831404,5.591285944,2.304710752
11,ITT 20,0,0,0,0,29515536,0,29515536,4666,4972512,6,0.343497276,6.29818058,2.513373139
12,ITT 30,0,0,0,0,32339117,0,32339117,5458,5187712,6,0.376854181,6.736964703,2.641512025
13,ITT 40,0,0,0,0,34883611,0,34883611,6610,5358688,6,0.383155584,6.408784628,2.650587055
14,ITT 50,0,0,0,0,37401879,0,37401879,7282,5532960,6,0.324661255,7.37157917,2.751241184
15,ITT 60,0,0,0,0,39146077,0,39146077,8362,5655360,6,0.352052689,7.665500402,2.83741409
16,ITT 70,0,0,0,0,42137861,0,42137861,9394,5855200,6,0.323649168,7.715484858,2.861801757
17,ITT 80,0,0,0,0,42821284,0,42821284,10442,5897632,6,0.355115414,7.767218828,2.91339197
18,ITT 90,0,0,0,0,44979897,0,44979897,11442,6026096,6,0.341471195,8.079352617,2.97229108
19,ITT 100,0,0,0,0,46774295,0,46774295,12122,6128352,6,0.345008373,8.114671707,3.032750064
20,BDBPA 10,0,0,0,0,2225262990,0,2213796990,68678556,137684688,24,4.031815767,98.623353,49.79996218
21,BDBPA 20,0,0,0,0,2224615860,0,2213152660,68658579,137644656,22,3.70699811,104.0779002,49.98685693
22,BDBPA 30,0,0,0,0,2718243930,0,2701049130,83787883,168067024,22,3.703409433,126.2648621,59.73723606
23,BDBPA 40,0,0,0,0,2223331900,0,2211874300,68618930,137565200,20,3.385584354,106.2336123,49.79258329
24,BDBPA 50,0,0,0,0,2528420630,0,2514098630,77990802,156390784,20,2.894874096,116.7812133,55.0778733
25,BDBPA 60,0,0,0,0,2717393070,0,2700206670,83761762,168014544,20,3.339326859,124.595691,59.11299924
26,BDBPA 70,0,0,0,0,2808009230,0,2787958430,86483042,173538944,20,3.383772135,135.9153719,61.9251716
27,BDBPA 80,0,0,0,0,2837541800,0,2814626600,87310362,175275424,20,3.338331223,138.0689266,62.50653878
